PROVEEDOR O CONTRATISTA, 	DEPENDENCIA, 	NUMERO DE EXPEDIENTE, 	HECHOS DE LA IRREGULARIDAD, 	OBJETO SOCIAL, 	SENTIDO DE RESOLUCION, 	FECHA DE NOTIFICACION, 	FECHA DE RESOLUCION, 	PLAZO, 	MONTO, 	NOMBRE DEL RESPONSABLE DE LA INFORMACION, 	FECHA DE ACTUALIZACION 
CLAVER SERVICIOS  S.A. DE C.V.,	SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,	0003/2015,	EL PROVEEDOR NO SE PRESENTO A FIRMAR LOS CONTRATOS EN EL PLAZO DE 15 DIAS NATURALES POSTERIORES A LA NOTIFICACION DEL FALLO  AUNADO A DIVERSOS INCUMPLIMIENTOS Y DEFICIENCIAS QUE SE REPORTARON EN LA PRESTACION DEL SERVICIO.,	SERVICIOS DE MANTENIMIENTO EN JARDINERIA  FUMIGACION Y LIMPIEZA DE TODO TIPO DE BIENES MUEBLES E INMUEBLES  ASI COMO TODO TIPO DE OBRAS RELACIONADAS CON LO ANTERIOR.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/08/2017,	30/08/2017,	1 AÑO,	104299.00,	,	14/01/2021 08:01
CLAVER SEVICIOS S.A. DE C.V.,	PRONOSTICOS PARA LA ASISTENCIA PÚBLICA,	0003/2014,	DE LA DOCUMENTACION LEGAL ADMINISTRATIVA PRESENTADA POR EL LICITANTE SE DETECTO QUE LA FIRMA DEL AGUNOS DE LOS ESCRITOS DIFIERE DE LA ESTAMPADA EN LA CREDENCIAL PARA VOTAR DEL REPRESENTANTE LEGAL.,	CONTRUCCIÓN Y REMODELACIÓN DE TODA CLASE DE INGENIERÍA CIVIL  INDUSTRIAL  MECÁNICA Y ELÉCTRICA YA SEA PÚBLICA O PRIVADA  ASÍ COMO SERVICIOS DE MANTENIMIENTO EN JARDINERÍA  FUMIGACIÓN Y LIMPIEZA DE TODO TIPO DE BIENES MUEBLES E INMUEBLES  ASÍ COMO TIPO DE OBRAS RELACIONADAS CON LO ANTERIOR.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	26/10/2017,	14/06/2017,	1 AÑO,	100935.00,	MELISSA GARCÍA CAMARGO,	14/01/2021 08:01
CLAYTON DE MEXICO  S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0014/2020,	POSIBLE INCUMPLIMIENTO DEL CONTRATO AD-DNAF-SRMYS/JSA-008/2019   NO LLEVÓ A CABO LA INSTALACIÓN Y PUESTA EN OPERACIÓN  DE 24 GENERADORES DE VAPOR PARA DIFERENTES UNIDADES MÉDICAS A NIVEL NACIONAL DEL INSTITUTO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/10/2020,	26/10/2020,	3 AÑOS 9 MESES,	1901025.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
CLEAN AND DECOR  S.A. DE C.V.,	PROCURADURIA GENERAL DE LA REPÚBLICA,	0008/2007,	NO CUMPLIÓ CON SUS OBLIGACIONES CONTRACTUALES DERIVADAS DE LA CELEBRACIÓN DEL INSTRUMENTO 3/026/2006  TODA VEZ QUE NO ENTREGÓ EN SU TOTALIDAD EL MATERIAL DE LIMPIEZA ESTIPULADO EN LA CLÁUSULA OCTAVA DEL CONTRATO  CORRESPONDIENTES A LOS MESES DE SEPTIEMBRE  OCTUBRE Y DICIEMBRE.,	PROPORCIONAR TODA CLASE DE SERVICIOS DE MANTENIMIENTO  LIMPIEZA Y DECORACIÓN DE OFICINAS ADMINISTRATIVAS O CORPORATIVAS  ESTABLECIMIENTOS COMERCIALES O DE SERVICIOS  FABRICAS  INDUSTRIAS  EDIFICIOS Y TODA CLASE DE INMUEBLES  INCLUYENDO SIN LIMITAR LA DECORACIÓN DE INTERIORES  LIMPIEZA Y COLOCACIÓN DE ALFOMBRAS  LIMPIEZA DE INMUEBLES  PULIDO DE PISOS  COLOCACIÓN DE LOZETAS  INSTALACIÓN DE CORTINAS Y PERSIANAS  ACONDICIONAMIENTO DE ESPACIOS  FUMIGACIÓN DE ÁREAS Y EN GENERAL CUALQUIER ACTO QUE SE RELACIONE CON EL PRESENTE OBJETO.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/12/2007,	05/12/2007,	6 MESES,	150877.00,	BERTIN VAZQUEZ GONZALEZ,	14/01/2021 08:01
CLEAN CREWS S. R. L. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0044/2014,	PRESENTACIÓN DE INFORMACIÓN FALSA EN LA PROPUESTA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/11/2015,	27/11/2015,	3 MESES,	100935.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
CLEAN STORE  S.A. DE C.V.,	COMISION NACIONAL DE CULTURA FISICA Y DEPORTE,	0001/2016,	L A EMPRESA “CLEAN STORE  S.A. DE C.V.”  PROPORCIONÓ INFORMACIÓN FALSA DURANTE SU PARTICIPACIÓN EN LA LICITACIÓN PÚBLICA NACIONAL ELECTRÓNICA LA-011L6I001-E13-2016 PARA LA “CONTRATACIÓN DEL SERVICIO INTEGRAL DE LIMPIEZA EN CADA UNO DE LOS INMUEBLES DE LA COMISIÓN NACIONAL DE CULTURA FÍSICA Y DEPORTE Y SERVICIO DE RECAMARISTAS PARA LOS ALBERGUES DE LA CONADE (VILLAS TLALPAN  CENTRO NACIONAL DE DESARROLLO DE TALENTOS DEPORTIVOS Y ALTO RENDIMIENTO(CNAR) Y CENTRO PARALÍMPICO MEXICANO (CEPAMEX) PARA EL EJERCICIO 2016”  AL PRESENTAR CON FECHA DIEZ DE MARZO DE DOS MIL DIECISÉIS  SUS PROPOSICIONES CON EL OBJETO DE DAR CUMPLIMIENTO AL ANEXO TÉCNICO DE LA CONVOCATORIA EN CUANTO A LAS “NORMAS MEXICANAS QUE APLICAN AL SERVICIO SOLICITADO”.,	LA COMERCIALIZACIÓN  PRODUCCIÓN  FABRICACIÓN  IMPORTACIÓN Y EXPORTACIÓN  DE TODA CLASE DE PRODUCTOS  ASÍ COMO LA PRESTACIÓN DE TODA CLASE DE SERVICIOS  A CUALQUIER PERSONA FÍSICA O MORAL DE NATURALEZA PRIVADA O PÚBLICA  Y EN ESPECIAL LA COMPRA  VENTA  FABRICACIÓN  IMPORTACIÓN  EXPORTACIÓN DE ARTÍCULOS DE LIMPIEZA ASÍ COMO LA PRESTACIÓN DE SERVICIOS DE LIMPIEZA  MANTENIMIENTO  CONSTRUCCIÓN Y REMODELACIÓN DE INMUEBLES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/03/2017,	22/03/2017,	2 AÑOS 6 MESES,	1095600.00,	MIGUEL RICARDO AGUIRRE BARROSO,	14/01/2021 08:01
CLIMATE INSTITUTE,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0064/2012,	48  FRACCIÓNES I Y II  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>OMITIÓ PRESENTAR LAS GARANTÍAS DE ANTICIPO Y DE CUMPLIMIENTO DEL CONTRATO DAD-CONFED-SPA-15-10  PARA EL SUMINISTRO  INSTALACIÓN  EQUIPAMIENTO  IMPLEMENTACIÓN CAPACITACIÓN Y DESARROLLO DEL CENTRO DE INFORMACIÓN Y EDUCACIÓN CLIMÁTICA DE BAJA CALIFORNIA  SUSCRITO CON EL GOBIERNO DEL ESTADO DE BAJA CALIFORNIA.,	IMPLEMENTACIÓN DEL PRIMER CENTRO DE OBSERVACIÓN DE GRAN ALTITUD DE CAMBIO CLIMÁTICO PARA NORTEAMÉRICA  EL CARIBE Y CENTROAMÉRICA Y OTROS OBSERVATORIOS  ACCIONES DE VIGILANCIA  MITIGACIÓN Y ADAPTACIÓN AL CAMBIO CLIMÁTICO GLOBAL.,	SANCIONATORIA CON MULTA,	08/01/2013,	03/12/2012,	,	86190.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
CLÍNICAS PERIFÉRICAS Y AMBULATORIAS  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0067/2016,	LA EMPRESA PROPORCIONÓ INFORMACIÓN FALSA  DURANTE EL PROCEDIMIENTO DE CONTRATACIÓN Y EN LA VIGENCIA DEL CONTRATO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/06/2019,	31/05/2019,	3 AÑOS,	1303860.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
COBALT IMPRESS S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0021/2015,	INFRACCIÓN AL ARTÍCULO 48  FRACCIÓN II DE LA LAASSP  AL NO PRESENTAR LA GARANTÍA DE CUMPLIMIENTO DE LAS OBLIGACIONES QUE DERIVAN DEL PEDIDO MÚMERO 30/2014  DENTRO DE LOS 10 DÍAS NAGTURALES SIGUIENTES A LA FE CHA DE FIRMA DEL MISMO.,	,	SANCIONATORIA CON MULTA,	15/01/2018,	03/01/2018,	,	104299.50,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
COBSA DE POZA RICA  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0007/2014,	INFORMACIÓN FALSA,	LLEVAR A CABO TODA CLASE DE ACTOS  CONVENIOS  CONTRATOS Y PROYECTOS RELACIONADOS CON LA INDUSTRIA DE LA CONSTRUCCIÓN.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	09/04/2015,	08/04/2015,	2 AÑOS,	1.00,	,	14/01/2021 08:01
COBSA DE POZA RICA  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0009/2014,	INFORMACIÓN FALSA Y DOLO,	LLEVAR A CABO TODA CLASE DE ACTOS  CONVENIOS  CONTRATOS Y PROYECTOS RELACIONADOS CON LA INDUSTRIA DE LA CONSTRUCCIÓN.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	20/04/2015,	20/04/2015,	2 AÑOS,	1.00,	,	14/01/2021 08:01
COBUSTIBLES Y LUBRICANTES DE CHARCAS S.A. DE C.V.,	DICONSA,	0003/2016,	EL PORVEEDOR NO ENTREGÓ LA GARANTÍA DE CUMPLIMINETO INFRINGIENDO LO PREVISTO EN LOS NUMERALES  48 ÚLTIMO PÁRRAFO Y 59 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO,	ABASTOI DE COMBUSTIBLE,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/04/2017,	27/03/2017,	3 MESES,	109560.00,	JORGE ALBERTO GARCÍA FLORES,	14/01/2021 08:01
CODERSA  S.A. DE C. V.,	CONSEJO NACIONAL DE FOMENTO EDUCATIVO,	0002/2008,	NO FORMALIZACIÓN DE CONTRATO POR CAUSAS IMPUTABLES A LA EMPRESA DENOMINADA CODERSA  S.A DE C.V.,	SERVICIO DE CONSTRUCCION  REMODELACIÓN Y LIMPIEZA DE MUEBLES E INMUEBLES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	13/05/2008,	08/05/2008,	3 MESES,	76255.50,	LIC. HORACIO REYES  VALDEZ,	14/01/2021 08:01
CODESCO S.A DE C.V,	INSTITUTO MEXICANO DE LA PROPIEDAD INDUSTRIAL,	0003/2019,	PRESUNTA CONTRAVENCIÓN AL ARTÍCULO 60 FRACCIÓN IV DE LA LEY DE ADQUISICIONES ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO  ELLO CON MOTIVO DE NO CUMPLIR CON LO ESTABLECIDO EN EL PUNTO 2.1.19 INCISO A) DE LA CONVOCATORIA A LA LICITACIÓN PÚBLICA INTERNACIONAL LPI-10265001-14/19 ELECTRÓNICA PARA LA ADQUISICIÓN DE CONSUMIBLES DE COMPUTO 2019.,	LA COMERCIALIZACIÓN  FABRICACIÓN  IMPORTACIÓN  EXPORTACIÓN  ARRENDAMIENTO DE TODO LO RELACIONADO CON ARTÍCULOS DE PAPELERÍA  ECOLAR Y DE OFICINA,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	03/12/2020,	30/11/2020,	1 AÑO 3 MESES,	654797.50,	NESTOR DANIEL CORONA ÁLVAREZ,	14/01/2021 08:01
COINPA  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0017/2008,	HABER PRESENTADO COPIA SIMPLE DE LICENCIA SANITARIA AL PARECER EMITIDA A NOMBRE DE PERSONA DIVERSA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/11/2010,	09/11/2010,	2 AÑOS 6 MESES,	758550.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
COMERCIALIZADORA ADRIGAR  S.A. DE C.V.,	AEROPUERTOS Y SERVICIOS AUXILIARES,	0046/2005,	NO FUE LOCALIZADO EN EL DOMICILIO QUE REGISTRO PARA FORMALIZAR EL CONTRATO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	18/08/2006,	08/08/2006,	3 MESES,	72540.00,	LUIS MANUEL LOPEZ  TORRES,	14/01/2021 08:01
COMERCIALIZADORA AEREO EMPRESARIAL  S.A. DE C.V.,	PROCURADURIA GENERAL DE LA REPÚBLICA,	0002/2011,	NO ENTREGÓ GARANTÍA DE CUMPLIMIENTO  INCUMPLIÓ CON LAS OBLIGACIONES ESTABLECIDAS EN EL CONTRATO PGR/LPI/CN/SERV/051/2009 RESPECTO DE LAS PARTIDAS 254  255  256 Y 257  NI HA DEVUELTO A LA INSTITUCIÓN LOS CORES QUE LE FUERON ENTREGADOS PARA SU REPARACIÓN  SEÑALÁNDOSE QUE PERSONAL DE LA EMPRESA HA PARTICIPADO EN DIVERSOS PROCEDIMIENTOS DE CONTRATACIÓN CONVOCADOS POR PGR REPRESENTANDO A OTRA EMPRESA QUE EN EL EJERCICIO 2009 FUE SANCIONADA POR ESTE OIC,	OPERACIÓN DE TALLERES  SERVICIOS DE REPARACIÓN Y MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE AVIONES  HELICÓPTEROS MOTORES  TURBINAS Y ACCESORIOS  DE ACUERDO CON LAS AUTORIZACIONES Y PERMISOS QUE EXPIDA LA SECRETARÍA DE COMUNICACIONES Y TRANSPORTES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	22/08/2013,	05/08/2013,	5 AÑOS,	1644000.00,	BERTIN VAZQUEZ GONZALEZ,	14/01/2021 08:01
COMERCIALIZADORA ALDARI  S.A DE C.V,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0296/2007,	PRESENTO DOCUMENTACION APOCRIFA,	COMPRA  VENTA  DISTRIBUCION Y COMERCIALIZACION ASI COMO LA IMPORTACION Y EXPORTACION DE FRUTAS  VERDURAS Y ABARROTES O TODO TIPO DE SERVICIO EN GENERAL Y LA ELABORACION DE DESPENSAS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	17/08/2007,	10/08/2007,	1 AÑO 6 MESES,	482806.40,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
COMERCIALIZADORA AUTOFLAS  S.A. DE C.V.,	CFE GENERACIÓN I,	0001/2017,	NO FORMALIZACIÓN DEL CONTRATO EN LA FECHA ESTABLECIDA PARA TAL EFECTO.,	,	SANCIONATORIA CON MULTA,	07/02/2018,	06/02/2018,	,	120060.00,	SUSANA AMAYA MARTINEZ,	14/01/2021 08:01
COMERCIALIZADORA BARUQUI  S.A. DE C.V.,	CENTRO NACIONAL DE INTELIGENCIA,	0030/2011,	LA PRESUNTA INFRACTORA NO SUSCRIBIÓ EL PEDIDO ADJUDICADO.,	MATERIALES Y ARTÍCULOS DE CONSTRUCCIÓN Y REPARACIÓN.,	SANCIONATORIA CON MULTA,	11/05/2012,	24/04/2012,	,	55076.27,	SILVIA LOPEZ PARRA,	14/01/2021 08:01
COMERCIALIZADORA CALIPSO  S.A. DE C.V.,	SECRETARIA DE EDUCACIÓN PÚBLICA,	0024/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	FABRICACION  DISTRIBUCION  IMPORTACION Y EXPORTACION DE TODA CLASE DE PRODUCTOS DE COMERCIO EN GENERAL,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/04/2007,	20/03/2007,	3 MESES,	72540.00,	LAURA JESSICA CORTAZAR MORÁN,	14/01/2021 08:01
COMERCIALIZADORA DE IMPLEMENTOS FERRETEROS  S.A DE C.V.,	PEMEX REFINACION,	0021/2009,	NO FORMALIZO EL CONTRATO 4600015804,	DISTRIBUCION DE CONEXIONES  DE INSTRUMENTACION Y VALVULAS EN DIFERENTES MATERIALES  ASI COMO LAS TRAMPAS PARA EL MANEJO DE FLUIDOS,	SANCIONATORIA CON MULTA,	06/12/2011,	24/11/2011,	,	203856.00,	JAVIER RAMIREZ GARCIA,	14/01/2021 08:01
COMERCIALIZADORA DE SERVICIOS DEL SUR  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0117/2008,	HABER PRESENTADO EN SU PROPUESTA CEDULAS PROFESIONALES AL PARECER EMITIDAS A NOMBRE DE PERSONAS DISTINTAS  A LAS SEÑALADAS.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/02/2011,	14/02/2011,	2 AÑOS 6 MESES,	788850.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
COMERCIALIZADORA DE SERVICIOS EPSILON  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0068/2017,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. C7M0042,	,	SANCIONATORIA CON MULTA,	20/07/2018,	16/07/2018,	,	120060.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
COMERCIALIZADORA DEPORTIVA OMEGA  S.A. DE C.V.,	INSTITUTO NACIONAL DE CANCEROLOGIA,	0002/2010,	NO HABER ENTREGADO LOS BIENES ADJUDICADOS  CORRESPONDIENTES A LAS PARTIDAS 1 2  8  9 Y 10 DEL PEDIDO SA09-000010,	COMPRAVENTA  FABRICACION  MAQUILA  DISTRIBUCION  IMPORTACION  EXPORTACION DE ARTICULOS DEPORTIVOS,	SANCIONATORIA CON MULTA,	17/08/2010,	09/08/2010,	,	86190.00,	EXI HELIETTE MORALES PADILLA,	14/01/2021 08:01
COMERCIALIZADORA EL LAGO DE LLOS CHANEQUES  S.A. DE C.V.,	SECRETARIA DE EDUCACIÓN PÚBLICA,	0022/2008,	PRESENTO INFORMACION FALSA A TRAVES DE UN DOCUMENTO PRESENTADO  COMO PARTE DE SU PROPUESTA TECNICA,	ABARROTES  CREMERIA  FUENTE DE SODAS  SALCHICHONERIA  REFRIGERIOS Y ARTICULOS VARIOS PARA EL CONSUMO HUMANO Y SERVICIO A COMEDORES.,	SANCIONATORIA CON MULTA,	20/05/2009,	11/04/2009,	,	1075991.40,	LAURA JESSICA CORTAZAR MORÁN,	14/01/2021 08:01
COMERCIALIZADORA FAMILIAR 3 REYES S.A DE C.V.,	COLEGIO NACIONAL DE EDUCACIÓN PROFESIONAL TECNICA,	0004/2014,	NO ENTREGAR LA GARANTIA DE CUMPLIMIENTO QUE DEBIO AMPARAR EL CONTRATO CAS-160/2013.,	DISTRIBUCIÓN  COMERCIALIZACIÓN  COMISIÓN  CONSIGNACIÓN  MAQUILA E IMPORTACIÓN DE ACCESORIOS PARA ARTÍCULOS DE BELLEZA  COSMETICOS  PLASTICOS ACCESORIOS  INDUSTRIAL TEXTIL DEL VESTIDO  PRODUCTOS QUIMICOS ORGÁNICOS E INORGANICOS  MATERIAS PRIMAS EN GENERAL  ARTÍCULOS Y ACCESORIOS PARA FERRETERÍA Y DEL RAMO DE CONSTRUCCIÓN  ENTRE OTRAS.,	SANCIONATORIA CON MULTA,	06/03/2015,	27/02/2015,	,	97140.00,	BENNY CARRASCO VALDIVIESO CARRASCO VALDIVIESO,	14/01/2021 08:01
COMERCIALIZADORA GRUPO KABANDA S.A. DE C.V.,	SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,	0001/2014,	PRESUNTAS IRREGULARIDADES EN EL CUMPLIMIENTO DE REQUISITOS EXIGIDOS EN LA CONVOCATORIA Y SIMULACIÓN EN LA EJECUCIÓN DEL SERVICIO.,	COMPRA  VENTA  FRABICACIÓN  DISTRIBUCIÓN  IMPORTACIÓN  EXPORTACIÓN  RECIBO EN CONSIGNACIÓN Y EN COMISIÓN DE TODA CLASE DE PRODUCTOS MEDICINALES  FARMACÉUTICOS  QUÍMICOS  MATERIAL DE CURACIÓN Y MATERIAL E INSTRUMENTOS QUIRÚRGICOS.,	SANCIONATORIA,	19/10/2020,	16/10/2020,	1 AÑO 5 MESES,	9002935.20,	JORGE ENRIQUE CARBAJAL CALDERON,	14/01/2021 08:01
COMERCIALIZADORA GUIGAM  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0027/2014,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D450004,	,	SANCIONATORIA CON MULTA,	01/12/2015,	27/11/2015,	,	104299.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
COMERCIALIZADORA INDUSTRIAL COATZACOALCOS  S.A. DE C.V.,	PEMEX PETROQUIMICA,	0024/2010,	CON FECHA DEL 5 DE OCTUBRE DE 2007 LA EMPRESA PRESUNTAMENTE PRESENTÓ INFORMACIÓN FALSA AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD QUE NO SE ENCONTRABA EN LOS SUPUESTOS DEL ARTÍCULO 50 DE DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO.,	REALIZACIÓN DE TODO TIPO DE COMERCIO  CONSTRUCCIÓN  PRESTADOR DE SERVICIO  COMPRA-VENTA,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	06/07/2010,	30/06/2010,	2 AÑOS 6 MESES,	783835.00,	,	14/01/2021 08:01
COMERCIALIZADORA INDUSTRIAL DEL NORTE Y SERVICIOS APLICADOS  S.A DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0027/2011,	PRESUNTAMENTE PROPORCIONÓ INFORMACIÓN FALSA EN DIVERSOS PROCEDIMIENTOS DE CONTRATACIÓN,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	21/10/2013,	18/10/2013,	1 AÑO,	328800.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
COMERCIALIZADORA INDUSTRIAL VERACRUZANA  S.A. DE C.V.,	PEMEX REFINACION,	0229/2007,	PRESENTO DOCUMENTACION FALSA  DOCUMENTOS NO RECONOCIDOS POR LAS EMPRESAS QUE PRESUNTAMENTE LOS EXPIDIERON.,	COMPRAVENTA  DISTRIBUCION  COMISION  COMERCIALIZACIÓN  CONSIGNACIÓN  IMPORTACIÓN DE TODA CLASE DE MERCANCIAS DE PRODUCTOS DE LIMPIEZA  BIENES MUEBLES  MERCADERIAS  ETC.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/02/2009,	08/02/2009,	3 MESES,	91026.00,	JAVIER RAMIREZ GARCIA,	14/01/2021 08:01
COMERCIALIZADORA IZASA  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0003/2018,	LA EMPRESA PROPORCIONÓ INFORMACIÓN FALSA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	29/11/2018,	22/11/2018,	1 AÑO,	452848.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
COMERCIALIZADORA JAROV STEEL  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0024/2012,	LA EMPRESA PRESENTÓ CON SU PROPUESTA ESTADOS FINANCIEROS FALSOS  EN VIRTUD DE QUE LA CÉDULA PROFESIONAL DEL CONTADOR PÚBLICO QUE LOS DICTAMINÓ  ES APOCRIFA,	PRESTAR TODA CLASE DE SERVICIOS CORPORATIVOS  ADMINISTRATIVOS  TÉCNICA DE ASISTENCIA  CONSULTA  ASESORÍA  CAPACITACIÓN  APOYO  ETC.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	29/11/2012,	15/11/2012,	6 MESES,	164400.00,	,	14/01/2021 08:01
COMERCIALIZADORA MORGON  S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0013/2012,	PRESUNTAMENTE PROPORCIONO INFORMACION FALSA DENTRO DE SUS PROPUESTAS.,	COMPRA  VENTA  IMPORTACION  EXPORTACION  DISTRIBUCION  FABRICACION  CONSIGNACION  REPRESENTACION DE ARTICULLOS EXISTENTES EN EL COMERCIO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	18/06/2013,	03/06/2013,	3 MESES,	93495.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
COMERCIALIZADORA NACIONAL DE CIRCUITO CERRADO TV Y ASESORIA EN SEGURIDAD PRIVADA  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0602/2007,	LA EMPRESA ACTUÓ CON DOLO AL PRESENTAR DOCUMENTACIÓN APÓCRIFA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/11/2010,	28/10/2010,	2 AÑOS 1 MES,	73005.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
COMERCIALIZADORA NACIONAL DE CIRCUITO CERRADO TV Y ASESORIA EN SEGURIDAD PRIVADA  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0603/2007,	LA EMPRESA ACTUÓ CON DOLO AL PROPORCIONAR DOCUMENTACIÓN APÓCRIFA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/11/2010,	28/10/2010,	2 AÑOS 1 MES,	73005.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
COMERCIALIZADORA PEMA  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0065/2017,	PROPORCIONAR INFORMACIÓN FALSA DURANTE UN PROCEDIMIENTO DE CONTRATACIÓN,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	12/10/2018,	12/10/2018,	1 AÑO 6 MESES,	651930.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
COMERCIALIZADORA PLASTINEON  S.A. DE C.V.,	SECRETARIA DE COMUNICACIONES Y TRANSPORTES,	0009/2010,	EN SU PROPUESTA MANIFESTO BAJO PROTESTA DE DECIR VERDAD QUE LOS BIENES QUE OFERTABA Y LE SERÍAN ADJUDICIADOS CUMPLIAN CON EL GRADO DE INTEGRACIÓN NACIONAL  EN DICHO ESCRITO  A SABIENDAS DEL REQUISITO  SE COMPROMETIO A PRESENTAR LA DOCUMENTACIÓN QUE DEMOSTRARA SU DICHO  CUANDO ASÍ FUERA REQUERIDO POR LA SECRETARÍA DE ECONOMIA  SIN EMBARGO CUANDO ESTA EFECTUÓ EL REQUERIMIENTO  LA MORAL NO EXHIBIO DOCUMENTO ALGUNO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	13/01/2012,	10/01/2012,	3 AÑOS 3 MESES,	1175631.60,	HECTOR MANUEL MONTES GAYTAN,	14/01/2021 08:01
